"GeneSet_Database"	"GeneSet_Category"	"GeneSet_Sub_Category"	"GeneSet_Name"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_ADIPOGENESIS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_ALLOGRAFT_REJECTION"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_ANDROGEN_RESPONSE"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_ANGIOGENESIS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_APICAL_JUNCTION"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_APICAL_SURFACE"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_APOPTOSIS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_BILE_ACID_METABOLISM"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_CHOLESTEROL_HOMEOSTASIS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_COAGULATION"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_COMPLEMENT"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_DNA_REPAIR"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_E2F_TARGETS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_ESTROGEN_RESPONSE_EARLY"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_ESTROGEN_RESPONSE_LATE"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_FATTY_ACID_METABOLISM"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_G2M_CHECKPOINT"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_GLYCOLYSIS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_HEDGEHOG_SIGNALING"
